,sideefect
0,incomplete spinal fusion
1,complement fixation test positive
2,subclavian artery thrombosis
3,device dislocation
4,meningomyelitis herpes
5,incorrect route of drug administration
6,pulse pressure increased
7,aphthous stomatitis
8,endometrial stromal sarcoma
9,congenital hypothyroidism
10,pancreatic enzymes abnormal
11,pterygium operation
12,heterotopic pregnancy
13,hanging
14,hypotelorism of orbit
15,trunk injury
16,immunodeficiency congenital
17,stool analysis normal
18,normochromic anaemia
19,ultrafiltration failure
20,aggression
21,haematocrit normal
22,hyperoxia
23,pregnancy test
24,feeding problem in newborn
25,blood immunoglobulin m decreased
26,epispadias
27,thiopurine methyltransferase decreased
28,periodontal inflammation
29,hepatitis b surface antibody
30,polyneuropathy idiopathic progressive
31,delusion of grandeur
32,platelet morphology abnormal
33,secondary syphilis
34,accidental exposure to product packaging by child
35,blood erythropoietin abnormal
36,ileostomy closure
37,reaction to previous exposure to any vaccine
38,liver abscess
39,biopsy spinal cord abnormal
40,decompressive craniectomy
41,adenoviral upper respiratory infection
42,eustachian tube dysfunction
43,selective igg subclass deficiency
44,circumoral oedema
45,delusion of replacement
46,endocardial varices
47,uterine ischaemia
48,rheumatoid arthritis
49,cardiomegaly
50,hiv infection cdc group i
51,blood pressure systolic inspiratory decreased
52,pulmonary arterial pressure abnormal
53,balloon atrial septostomy
54,renal artery hyperplasia
55,retinal fibrosis
56,ventricular failure
58,transvestism
59,echopraxia
60,haemangiopericytoma of meninges
61,chondrolysis
62,pneumonia serratia
63,screaming
64,vitamin c decreased
65,ophthalmic herpes zoster
66,pseudophakic bullous keratopathy
67,paraganglion neoplasm benign
68,mucopolysaccharidosis ih
69,hereditary spastic paraplegia
70,cholelithiasis migration
71,large intestinal ulcer perforation
72,neutrophil chemotaxis abnormal
73,peliosis hepatis
74,blood pressure systolic increased
75,factor ii mutation
77,malignant giant cell fibrous histiocytoma
78,upper gastrointestinal haemorrhage
79,allergy to arthropod bite
80,cryptophthalmos
81,cor triatriatum
82,le cells present
83,macroangiopathy
84,water intoxication
86,ovarian germ cell teratoma benign
87,nitrite urine
88,diastematomyelia
89,culture wound
90,mesenteric arteriosclerosis
91,periodontitis
92,radiation exposure
93,opsoclonus myoclonus
95,candida infection
96,male sterilisation
97,portal anastomosis
98,vascular device occlusion
99,nasogastric output abnormal
100,cardiac fibrillation
101,bipolar disorder
102,dental cyst
103,oropharyngeal candidiasis
104,diabetic nephropathy
105,carotene abnormal
106,anal chlamydia infection
107,latent syphilis
108,alcaligenes infection
111,supplementation therapy
112,medical device site erythema
113,acrodysostosis
114,dental discomfort
115,serum sickness-like reaction
