	sideefects
0	, complement fixation test positive
1	, aphthous stomatitis
2	, pterygium operation
3	, hanging
4	, trunk injury
5	, ultrafiltration failure
6	, aggression
7	, hyperoxia
8	, feeding problem in newborn
9	, epispadias
10	, platelet morphology abnormal
11	, secondary syphilis
12	, selective igg subclass deficiency
13	, transvestism
14	, screaming
15	, pseudophakic bullous keratopathy
16	, cryptophthalmos
17	, cor triatriatum
18	, le cells present
19	, dental cyst
20	, acrodysostosis
21	, serum sickness-like reaction
22	, miosis
23	, splinter
24	, meningism
25	, nitritoid crisis
26	, laryngeal nerve dysfunction
27	, bone marrow ischaemia
28	, non-cardiogenic pulmonary oedema
29	, eye colour change
30	, faeces pale
31	, oesophageal fibrosis
32	, duodeno-jejunal bypass sleeve therapy
33	, back disorder
34	, merycism
35	, exposure to household chemicals
36	, venous ulcer pain
37	, cystitis-like symptom
38	,  mixed type
39	, vulvovaginal hypoaesthesia
40	, poverty
41	, stomach mass
42	, clubbing
43	, sexual assault victim
44	, muscle swelling
45	, barotrauma
46	, cardiac output
47	, choking
48	, septic shock
49	,  jealous type
50	, masked fever
51	, hydromyelia
52	, scan brain
53	, tooth loss
54	, dry skin
55	, death of child
56	, acute fatty liver of pregnancy
57	, pelvic sepsis
58	, depressed level of consciousness
59	, denture wearer
60	, blindness hysterical
61	, hypoxia
62	, genetic polymorphism
63	, vasectomy reversal
64	, sinus node dysfunction
65	, monorchidism
66	, joint hyperextension
67	, contracted bladder
68	, choreoathetosis
69	, device effect incomplete
70	, blood ph
71	, bubonic plague
72	, palatal operation
73	, vitreous injury
74	, psychotic behaviour
75	, large for dates baby
76	, pituitary gonadotropin hyperfunction
77	, hypothyroidic goitre
78	, lividity
79	, miliaria
80	, trial of void
81	, cyclitis
82	, candida pneumonia
83	, orthognathic surgery
84	, preoperative care
85	, osteoporosis prophylaxis
86	, struck by lightning
87	, progeria
88	, fragile x carrier
89	, sebaceous naevus
90	, teratoma
91	, cardiac arrest
92	, fluorosis
93	, monoclonal gammopathy
94	, pneumonia
95	, hysterical psychosis
96	, onycholysis
97	, neck mass
98	, paraneoplastic pemphigus
99	, glutamate dehydrogenase level abnormal
100	, blood grouping
101	, neurologic neglect syndrome
102	, ketosis-prone diabetes mellitus
103	, gingival blister
104	, venomous sting
105	, bacteriuria in pregnancy
106	, diarrhoea neonatal
107	, ulcer
108	, vasectomy
109	, umbilical sepsis
110	, hemiplegic migraine
111	, langerhans cell sarcoma
112	, mammary fistula
113	, amyloidoma
114	, vital capacity abnormal
115	, haematemesis
116	, cystic eyeball
117	, clumsiness
118	, hyperkeratosis palmaris and plantaris
119	, catheter management
120	, protuberant ear
121	, bone swelling
122	, stomatocytes present
123	, head banging
124	, iridodialysis
125	, pouchitis
126	, poisoning
127	, accident
128	, nasopharyngitis
129	, bowenoid papulosis
130	, kidney rupture
131	, scrub typhus
132	, eczema infected
133	, bulbar poliomyelitis
134	, pregnancy
135	, crushing injury of hip
136	, canavan disease
137	, empyema
138	, halo vision
139	, post-traumatic headache
140	, nodular rash
141	, erythema
142	, podagra
143	, biopsy epididymis abnormal
144	, strongyloidiasis
145	, anhedonia
146	, hyposideraemia
147	, cardiac massage
148	, vasodilatation
149	, tobacco poisoning
150	, tumour pain
151	, penile repair
152	, fascioliasis
153	, cows milk free diet
154	, eyelid boil
155	, unevaluable therapy
156	, urinary incontinence
157	, perfume sensitivity
158	, ejaculation delayed
159	, caregiver
160	, overgrowth fungal
161	, buccal polyp
162	, subileus
163	, tendon injury
164	, xxx syndrome
165	, blood lactic acid
166	, peptic ulcer helicobacter
167	, pseudoporphyria
168	, crushing injury of trunk
169	, fluid wave test
170	, early onset familial alzheimer^s disease
171	, scan
172	, diplopia
173	, oral torus
174	, vasopressive therapy
175	, effusion
176	, pseudophakodonesis
177	, sight disability
178	, myokymia
179	, compulsive cheek biting
180	, mammogram
181	, epiphyses premature fusion
182	, hepatic mass
183	, shunt aneurysm
184	, syphilis
185	, gastric emptying study
186	, bone fissure
187	, restlessness
188	, abscess limb
189	, hair injury
190	, marcus gunn syndrome
191	, gne myopathy
192	, lymphogranuloma venereum
193	, adductor vocal cord weakness
194	, glossectomy
195	, uv light therapy
196	, iris coloboma
197	, urticaria
198	, alpha-1 anti-trypsin
199	, oncocytoma
200	, jejunal ulcer
201	, testicular microlithiasis
202	, base excess negative
203	, impulsive behaviour
204	, duodenal polyp
205	, risus sardonicus
206	, jaw operation
207	, sudden onset of sleep
208	, suspiciousness
209	, ectopic ureter
210	, fontanelle depressed
211	, enanthema
212	, aqueous fibrin
213	, flat affect
214	, bleeding time
215	, pseudobulbar palsy
216	, onychogryphosis
217	, adenopathy syphilitic
218	, aphonia
219	, swollen tear duct
220	, ovarian failure
221	, product caught fire
222	, cyanosis
223	, human bite
224	, paradoxical pain
225	, haemorrhoid operation
226	, breath holding
227	, gallbladder fistula
228	, sinus arrest
229	, phobia of flying
230	, acquired claw toe
231	, pleurothotonus
232	, diffuse axonal injury
233	, deafness permanent
234	, tooth development disorder
235	, genitals enlarged
236	, pseudofracture
237	, gallbladder non-functioning
238	, penile wart
239	, eosinophilia
