	sideefects
0	, complement fixation test positive
1	, aphthous stomatitis
2	, pterygium operation
3	, heterotopic pregnancy
4	, hanging
5	, trunk injury
6	, ultrafiltration failure
7	, aggression
8	, hyperoxia
9	, pregnancy test
10	, feeding problem in newborn
11	, epispadias
12	, polyneuropathy idiopathic progressive
13	, platelet morphology abnormal
14	, secondary syphilis
15	, reaction to previous exposure to any vaccine
16	, selective igg subclass deficiency
17	, rheumatoid arthritis
18	, transvestism
19	, echopraxia
20	, screaming
21	, pseudophakic bullous keratopathy
22	, peliosis hepatis
23	, cryptophthalmos
24	, cor triatriatum
25	, le cells present
26	, dental cyst
27	, carotene abnormal
28	, supplementation therapy
29	, acrodysostosis
30	, serum sickness-like reaction
31	, atypical fibroxanthoma
32	, miosis
33	, peripheral arthritis
34	, splinter
35	, meningism
36	, nitritoid crisis
37	, uterine synechiae
38	, cardiac pacemaker removal
39	, laryngeal nerve dysfunction
40	, osteolysis
41	, page kidney
42	, unevaluable event
43	, bone marrow ischaemia
44	, non-cardiogenic pulmonary oedema
45	, eye colour change
46	, faeces pale
47	, oesophageal fibrosis
48	, duodeno-jejunal bypass sleeve therapy
49	, oro-pharyngeal aspergillosis
50	, back disorder
51	, merycism
52	, exposure to household chemicals
53	, venous ulcer pain
54	, blood pressure difference of extremities
55	, cystitis-like symptom
56	, nail bed bleeding
57	, laparoscopy
58	,  mixed type
59	, coronary bypass stenosis
60	, vulvovaginal hypoaesthesia
61	, poverty
62	, stomach mass
63	, clubbing
64	, foetal growth abnormality
65	, infantile apnoea
66	, sexual assault victim
67	, muscle swelling
68	, radial head dislocation
69	, barotrauma
70	, agitation neonatal
71	, vulvovaginal human papilloma virus infection
72	, cardiac output
73	, choking
74	, septic shock
75	,  jealous type
76	, masked fever
77	, purulent synovitis
78	, hydromyelia
79	, scan brain
80	, tooth loss
81	, lupus hepatitis
82	, dry skin
83	, anaesthesia dolorosa
84	, death of child
85	, acute fatty liver of pregnancy
86	, pelvic sepsis
87	, depressed level of consciousness
88	, denture wearer
89	, mesenteric artery embolism
90	, optic nerve sheath haemorrhage
91	, blindness hysterical
92	, hypoxia
93	, genetic polymorphism
94	, liver sarcoidosis
95	, vasectomy reversal
96	, sinus node dysfunction
97	, monorchidism
98	, alpha-1 acid glycoprotein increased
99	, polyneuropathy alcoholic
100	, naevus cell naevus
101	, oxygen consumption
102	, joint hyperextension
103	, contracted bladder
104	, choreoathetosis
105	, device effect incomplete
106	, cerebral septic infarct
107	, blood ph
108	, bubonic plague
109	, palatal operation
110	, vitreous injury
111	, psychotic behaviour
112	, large for dates baby
113	, oesophageal ph increased
114	, spinal anaesthesia
115	, pituitary gonadotropin hyperfunction
116	, premature ageing
117	, cavernous sinus syndrome
118	, hypothyroidic goitre
119	, lividity
120	, miliaria
121	, trial of void
122	, metallosis of globe
123	, cyclitis
124	, candida pneumonia
125	, orthognathic surgery
126	, preoperative care
127	, osteoporosis prophylaxis
128	, mastitis
129	, struck by lightning
130	, progeria
131	, fragile x carrier
132	, perinatal brain damage
133	, sebaceous naevus
134	, perichondritis
135	, small cell lung cancer
136	, neuropathic ulcer
137	, teratoma
138	, cardiac arrest
139	, facioscapulohumeral muscular dystrophy
140	, fluorosis
141	, ubiquinone decreased
142	, monoclonal gammopathy
143	, pneumonia
144	, thyroid b-cell lymphoma
145	, hysterical psychosis
146	, trigeminal nerve paresis
147	, onycholysis
148	, neck mass
149	, paraneoplastic pemphigus
150	, visual field tests
151	, glutamate dehydrogenase level abnormal
152	, blood grouping
153	, 17 ketosteroids urine decreased
154	, neurologic neglect syndrome
155	, hydropneumothorax
156	, portal shunt
157	, ketosis-prone diabetes mellitus
158	, urine ketone body
159	, euthyroid sick syndrome
160	, neurosurgery
161	, gingival blister
162	, venomous sting
163	, foetal biophysical profile score
164	, cold agglutinins
165	, bacteriuria in pregnancy
166	, diarrhoea neonatal
167	, ulcer
168	, ectopic kidney
169	, vasectomy
170	, umbilical sepsis
171	, hemiplegic migraine
172	, langerhans cell sarcoma
173	, mammary fistula
174	, amyloidoma
175	, vital capacity abnormal
176	, thyroid gland cancer
177	, haematemesis
178	, cystic eyeball
179	, orbital pseudotumour
180	, clumsiness
181	, hyperkeratosis palmaris and plantaris
182	, auditory recruitment
183	, catheter management
184	, haemoglobin a2
185	, protuberant ear
186	, developmental hip dysplasia
187	, bladder neoplasm surgery
188	, bone swelling
189	, stomatocytes present
190	, head banging
191	, iridodialysis
192	, behavioural therapy
193	, pouchitis
194	, respiratory dyskinesia
195	, apocrine miliaria
196	, joint space narrowing
197	, mononuclear cell count abnormal
198	, tumour perforation
199	, pulmonary veno-occlusive disease
200	, hypovolaemic shock
201	, poisoning
202	, osteocalcin
203	, accident
204	, nasopharyngitis
205	, bowenoid papulosis
206	, kidney rupture
207	, multi-organ failure
208	, exposure via partner
209	, scrub typhus
210	, eczema infected
211	, bulbar poliomyelitis
212	, pregnancy
213	, retro-orbital neoplasm
214	, tremor neonatal
215	, crushing injury of hip
216	, canavan disease
217	, vascular pseudoaneurysm ruptured
218	, empyema
219	, foetal movements decreased
220	, metastases to bone marrow
221	, halo vision
